itemid,                    name, sell_single, buy_single, price_single, stock_single, sell_stacks, buy_stacks, price_stacks, stock_stacks
2,              simple_bed,1,1,391,5,0,1,1,10
3,                 oak_bed,1,1,1403,5,0,1,1,10
4,            mahogany_bed,1,1,10212,5,0,1,1,10
5,              bronze_bed,1,1,1557,5,0,1,1,10
6,              nobles_bed,1,1,12500,5,0,1,1,10
8,               royal_bed,1,1,19074,5,0,1,1,10
21,                    desk,1,1,158,5,0,1,1,10
22,               workbench,1,1,91,5,0,1,1,10
23,             maple_table,1,1,159,5,0,1,1,10
24,               oak_table,1,1,3120,5,0,1,1,10
26,           tarutaru_desk,1,1,1500,5,0,1,1,10
29,              secretaire,1,1,2466,5,0,1,1,10
30,                  bureau,1,1,1985,5,0,1,1,10
32,                 dresser,1,1,9302,5,0,1,1,10
33,        millionaire_desk,1,1,24999,5,0,1,1,10
43,              wicker_box,1,1,750,5,0,1,1,10
46,               armor_box,1,1,1214,5,0,1,1,10
49,                  coffer,1,1,1278,5,0,1,1,10
51,                   chest,1,1,195,5,0,1,1,10
55,                 cabinet,1,1,3200,5,0,1,1,10
56,                 commode,1,1,4753,5,0,1,1,10
59,              chiffonier,1,1,4685,5,0,1,1,10
61,                 armoire,1,1,12750,5,0,1,1,10
76,         royal_bookshelf,1,1,14625,5,0,1,1,10
77,               bookshelf,1,1,14500,5,0,1,1,10
86,         san_dorian_tree,1,1,2015,5,0,1,1,10
87,               kadomatsu,1,1,2015,5,0,1,1,10
90,            rusty_bucket,1,1,51,5,0,1,1,10
91,            blue_pitcher,1,1,37,5,0,1,1,10
92,          tarutaru_stool,1,1,246,5,0,1,1,10
93,              water_cask,1,1,95,5,0,1,1,10
95,            water_barrel,1,1,1879,5,0,1,1,10
96,         beverage_barrel,1,1,1773,5,0,1,1,10
97,             book_holder,1,1,205,5,0,1,1,10
98,         scimitar_cactus,1,1,408,5,0,1,1,10
99,            elshimo_palm,1,1,403,5,0,1,1,10
100,              okadomatsu,1,1,200,5,0,1,1,10
102,            flower_stand,1,1,97,5,0,1,1,10
103,           goldfish_bowl,1,1,4780,5,0,1,1,10
104,          taru_f._screen,1,1,435,5,0,1,1,10
107,               water_jug,1,1,48,5,0,1,1,10
109,                     urn,1,1,356,5,0,1,1,10
110,               white_jar,1,1,1058,5,0,1,1,10
112,              yellow_jar,1,1,126,5,0,1,1,10
113,       cleaning_tool_set,1,1,51,5,0,1,1,10
115,           bastokan_tree,1,1,2015,5,0,1,1,10
116,        windurstian_tree,1,1,2015,5,0,1,1,10
120,             f._aquarium,1,1,2647,5,0,1,1,10
121,             s._aquarium,1,1,3720,5,0,1,1,10
122,                amir_bed,1,1,2091,5,0,1,1,10
123,              athenienne,1,1,1367,5,0,1,1,10
124,                wardrobe,1,1,2594,5,0,1,1,10
125,               reliquary,1,1,1906,5,0,1,1,10
126,            falsiam_vase,1,1,1879,5,0,1,1,10
127,            coffee_table,1,1,2514,5,0,1,1,10
128,                 console,1,1,1431,5,0,1,1,10
130,              marble_bed,1,1,9625,5,0,1,1,10
132,           tableware_set,1,1,2345,5,0,1,1,10
133,                 tea_set,1,1,2478,5,0,1,1,10
135,          magic_tome_set,1,1,16,5,0,1,1,10
139,              star_globe,1,1,13430,5,0,1,1,10
143,                   ngoma,1,1,2011,5,0,1,1,10
144,                 caisson,1,1,602,5,0,1,1,10
145,                thurible,1,1,1918,5,0,1,1,10
146,          walahra_burner,1,1,2461,5,0,1,1,10
147,       imperial_tapestry,1,1,2488,5,0,1,1,10
148,              cartonnier,1,1,6800,5,0,1,1,10
149,        alchemists_tools,1,1,2356,5,0,1,1,10
150,             leather_pot,1,1,2435,5,0,1,1,10
152,               flowerpot,1,1,50,5,0,1,1,10
185,             rook_banner,1,1,2435,5,0,1,1,10
186,           shield_plaque,1,1,2223,5,0,1,1,10
187,          buckler_plaque,1,1,10000,5,0,1,1,10
188,          acolytes_grief,1,1,5204,5,0,1,1,10
189,             autumns_end,1,1,6000,5,0,1,1,10
194,       blacksmith_plaque,1,1,608,5,0,1,1,10
195,             the_big_one,1,1,2488,5,0,1,1,10
200,            tsahyan_mask,1,1,8250,5,0,1,1,10
201,              totem_pole,1,1,3922,5,0,1,1,10
206,           ancient_blood,1,1,194,5,0,1,1,10
207,               fire_lamp,1,1,3728,5,0,1,1,10
208,                ice_lamp,1,1,2057,5,0,1,1,10
209,               wind_lamp,1,1,2798,5,0,1,1,10
210,              earth_lamp,1,1,1922,5,0,1,1,10
211,          lightning_lamp,1,1,1617,5,0,1,1,10
212,              water_lamp,1,1,4200,5,0,1,1,10
213,              light_lamp,1,1,4909,5,0,1,1,10
214,               dark_lamp,1,1,4311,5,0,1,1,10
216,         porc._flowerpot,1,1,194,5,0,1,1,10
217,         brass_flowerpot,1,1,200,5,0,1,1,10
218,       earthen_flowerpot,1,1,194,5,0,1,1,10
219,       ceramic_flowerpot,1,1,194,5,0,1,1,10
220,        wooden_flowerpot,1,1,1428,5,0,1,1,10
221,        arcane_flowerpot,1,1,3900,5,0,1,1,10
222,      fighting_fish_tank,1,1,1662,5,0,1,1,10
223,          river_aquarium,1,1,2091,5,0,1,1,10
224,            bay_aquarium,1,1,3912,5,0,1,1,10
225,           reef_aquarium,1,1,2356,5,0,1,1,10
295,                 bonfire,1,1,3073,5,0,1,1,10
314,        9-drawer_almirah,1,1,6800,5,0,1,1,10
315,        6-drawer_almirah,1,1,5202,5,0,1,1,10
316,        3-drawer_almirah,1,1,3901,5,0,1,1,10
317,             bronze_rose,1,1,4510,5,0,1,1,10
318,            crystal_rose,1,1,4800,5,0,1,1,10
319,              shell_lamp,1,1,1239,5,0,1,1,10
321,            mythril_bell,1,1,2647,5,0,1,1,10
322,             horn_trophy,1,1,2117,5,0,1,1,10
326,         yellow_hobby_bo,1,1,2170,5,0,1,1,10
327,            red_hobby_bo,1,1,2170,5,0,1,1,10
328,          black_hobby_bo,1,1,2170,5,0,1,1,10
329,           blue_hobby_bo,1,1,2170,5,0,1,1,10
330,          green_hobby_bo,1,1,2170,5,0,1,1,10
331,            winged_altar,1,1,2466,5,0,1,1,10
332,           winged_plaque,1,1,19792,5,0,1,1,10
333,          winged_balance,1,1,19639,5,0,1,1,10
343,              harp_stool,1,1,789,5,0,1,1,10
348,           marble_plaque,1,1,4910,5,0,1,1,10
349,          ryl._sqr._bunk,1,1,4550,5,0,1,1,10
350,       rep._lgn._bedding,1,1,4550,5,0,1,1,10
351,       fed._mrc._hammock,1,1,4550,5,0,1,1,10
352,          half_partition,1,1,5100,5,0,1,1,10
353,                  spence,1,1,4000,5,0,1,1,10
354,               bookstack,1,1,4000,5,0,1,1,10
355,             bread_crock,1,1,4000,5,0,1,1,10
357,               partition,1,1,2091,5,0,1,1,10
358,                credenza,1,1,6857,5,0,1,1,10
359,                   bahut,1,1,640,5,0,1,1,10
360,                   matka,1,1,502,5,0,1,1,10
361,                gallipot,1,1,2144,5,0,1,1,10
362,            fluoro-flora,1,1,2117,5,0,1,1,10
363,            amigo_cactus,1,1,265,5,0,1,1,10
364,            amiga_cactus,1,1,1429,5,0,1,1,10
368,            san._tea_set,1,1,2620,5,0,1,1,10
369,            bas._tea_set,1,1,2091,5,0,1,1,10
370,            win._tea_set,1,1,2091,5,0,1,1,10
371,          butterfly_cage,1,1,3798,5,0,1,1,10
372,            cricket_cage,1,1,3992,5,0,1,1,10
373,            glowfly_cage,1,1,1356,5,0,1,1,10
374,                parclose,1,1,2250,5,0,1,1,10
